country_code,stage,channel_id,media_channel,ad_type,spend,CPM,impressions,CPV,video_views,CPE,engagements,CPF,follows
IN,1st,1,IG,Post Engagement,6687.02,0.18,38189093,0.0012,5721094,0.0008,7904730,,
IN,1st,1,FB,Page Likes,7350,0.08,94222989,,,0.0982,74865,0.06,116026
IN,1st,3,,Demand Gen,13650,0.05,273000000,0.0009,15802173,0.0047,2916667,0.1,136500
IN,1st,1,FB,Video Views,12824.43,0.66,19425567,0.0014,9100012,0.0014,9123073,2039.37,6
IN,1st,3,,VVC,12824.43,0.05,256488500,0.0009,14846431,0.0047,2740262,,
PK,1st,1,FB,Reach,6644.27,0.07,102031645,,,0.1192,55752,94.32,70
PK,1st,3,,VRC 2.0,390.84,0.31,1261789,0.0009,452463,0.0047,83513,,
PK,1st,18,TT,Reach,781.68,0.31,2523578,0.0009,904925,0.0047,167025,,
PK,1st,1,FB,Post Engagement,37893.13,0.41,93398436,0.0025,15094184,0.0022,17389699,52.15,727
PK,1st,1,IG,Post Engagement,6687.02,0.73,9137346,0.0041,1632250,0.0036,1873771,,
PK,1st,1,FB,Page Likes,19600,0.17,113419591,0.0027,7389441,0.0025,7721596,0.09,217778
PK,1st,3,,Demand Gen,2520,0.31,8135587,0.0009,2917324,0.0047,538462,0.12,21000
PK,1st,18,TT,CI Follows,5880,0.72,8150155,0.0008,7269147,0.0093,631879,0.03,176761
PK,1st,1,FB,Video Views,2564.89,1.42,1800750,0.002,1299751,0.002,1303902,11999.4,
PK,1st,3,,VVC,2564.89,0.31,8280494,0.0009,2969286,0.0047,548052,,
PK,1st,18,TT,Video Views,20519.08,0.17,118970095,0.0002,111281830,0.0151,1363265,0.67,30816
BD,1st,1,FB,Reach,4152.68,0.07,63543472,0.0028,1472922,0.0027,1515226,111.43,37
BD,1st,3,,VRC 2.0,244.28,0.31,788619,0.0009,282789,0.0047,52196,,
BD,1st,18,TT,Reach,488.55,0.31,1577238,0.0009,565579,0.0047,104391,,
BD,1st,1,FB,Post Engagement,23683.21,0.39,61483168,0.0019,12422073,0.0016,14396360,7.21,3284
BD,1st,1,IG,Post Engagement,4179.39,0.53,7852081,0.0027,1548063,0.0025,1669624,,
BD,1st,1,FB,Page Likes,0,0.57,0,0.0064,0,0.0061,0,0.07,0
BD,1st,3,,Demand Gen,0,0.31,0,0.0009,0,0.0047,0,0.61,0
BD,1st,18,TT,CI Follows,0,0.31,0,0.0009,0,0.0047,0,0.61,0
BD,1st,1,FB,Video Views,1603.05,1.06,1508230,0.0015,1090842,0.0015,1092320,2193.79,1
BD,1st,3,,VVC,1603.05,0.31,5175308,0.0009,1855804,0.0047,342533,,
BD,1st,18,TT,Video Views,12824.42,0.31,41402466,0.0009,14846430,0.0047,2740262,,
SA,1st,1,FB,Reach,6644.27,0.2,32700958,0.0108,615673,0.0104,639723,1099.92,6
SA,1st,3,,VRC 2.0,390.84,0.31,1261789,0.0009,452463,0.0047,83513,,
SA,1st,18,TT,Reach,781.68,0.31,2523578,0.0009,904925,0.0047,167025,,
SA,1st,1,FB,Post Engagement,37893.13,0.99,38362382,0.0041,9196412,0.0041,9345897,5279.47,7
SA,1st,1,IG,Post Engagement,6687.02,4.42,1513267,0.0333,200841,0.0284,235649,,
SA,1st,1,FB,Page Likes,25200,0.57,44395652,0.0144,1747573,0.0139,1808197,0.84,30006
SA,1st,3,,Demand Gen,11340,0.31,36610141,0.0009,13127959,0.0047,2423077,0.61,18675
SA,1st,18,TT,CI Follows,26460,8.65,3059025,0.009,2943185,0.1939,136433,0.49,54201
SA,1st,1,FB,Video Views,2564.89,2.95,869425,0.0049,519150,0.0049,520926,,
SA,1st,3,,VVC,2564.89,0.31,8280494,0.0009,2969286,0.0047,548052,,
SA,1st,18,TT,Video Views,20519.08,0.93,22063020,0.001,21639498,0.3148,65172,13.33,1540
EG,1st,1,FB,Reach,6644.27,0.09,71683217,0.0081,825247,0.0075,887156,57.95,115
EG,1st,3,,VRC 2.0,390.84,0.31,1261789,0.0009,452463,0.0047,83513,,
EG,1st,18,TT,Reach,781.68,0.31,2523578,0.0009,904925,0.0047,167025,,
EG,1st,1,FB,Post Engagement,37893.13,0.64,59045980,0.0025,15084349,0.0024,15492678,92.45,410
EG,1st,1,IG,Post Engagement,6687.02,0.9,7455813,0.007,956348,0.0067,1004942,,
EG,1st,1,FB,Page Likes,28980,0.44,65407626,0.0056,5182070,0.0055,5302239,0.32,91673
EG,1st,3,,Demand Gen,18270,0.31,58983005,0.0009,21150601,0.0047,3903846,0.32,57094
EG,1st,18,TT,CI Follows,15750,0.94,16795454,0.001,16087208,0.0603,261134,0.22,73240
EG,1st,1,FB,Video Views,2564.89,1.88,1361406,0.0024,1086634,0.0023,1098557,6389.96,
EG,1st,3,,VVC,2564.89,0.31,8280494,0.0009,2969286,0.0047,548052,,
EG,1st,18,TT,Video Views,20519.08,0.36,56924775,0.0004,54352036,0.1024,200354,2.84,7217
AE,1st,1,FB,Reach,4152.68,0.27,15280726,0.0128,325644,0.0125,333418,,
AE,1st,3,,VRC 2.0,244.28,0.31,788619,0.0009,282789,0.0047,52196,,
AE,1st,18,TT,Reach,488.55,0.31,1577238,0.0009,565579,0.0047,104391,,
AE,1st,1,FB,Post Engagement,23683.21,1.2,19709945,0.0042,5620590,0.0042,5706743,1198.55,20
AE,1st,1,IG,Post Engagement,4179.39,3.57,1169380,0.0197,212490,0.0161,259203,,
AE,1st,1,FB,Page Likes,0,0.79,0,0.2242,0,0.1783,0,0.49,0
AE,1st,3,,Demand Gen,0,0.31,0,0.0009,0,0.0047,0,0.61,0
AE,1st,18,TT,CI Follows,0,11.75,0,0.012,0,0.1974,0,0.51,0
AE,1st,1,FB,Video Views,1603.05,3.7,433643,0.0066,243347,0.0066,244255,,
AE,1st,3,,VVC,1603.05,0.31,5175308,0.0009,1855804,0.0047,342533,,
AE,1st,18,TT,Video Views,12824.42,0.95,13488519,0.001,13302831,0.3412,37589,12.62,1016
TZ,1st,1,FB,Reach,830.54,0.31,2681305,0.0009,961484,0.0047,177465,,
TZ,1st,3,,VRC 2.0,48.86,0.31,157724,0.0009,56558,0.0047,10439,,
TZ,1st,18,TT,Reach,97.71,0.31,315448,0.0009,113116,0.0047,20878,,
TZ,1st,1,FB,Post Engagement,4736.64,0.31,15291810,0.0009,5483461,0.0047,1012103,,
TZ,1st,1,IG,Post Engagement,835.88,0.31,2698555,0.0009,967670,0.0047,178606,,
TZ,1st,1,FB,Page Likes,0,0.31,0,0.0009,0,0.0047,0,0.61,0
TZ,1st,3,,Demand Gen,0,0.31,0,0.0009,0,0.0047,0,0.61,0
TZ,1st,18,TT,CI Follows,0,0.31,0,0.0009,0,0.0047,0,0.61,0
TZ,1st,1,FB,Video Views,320.61,0.31,1035063,0.0009,371161,0.0047,68507,,
TZ,1st,3,,VVC,320.61,0.31,1035063,0.0009,371161,0.0047,68507,,
TZ,1st,18,TT,Video Views,2564.89,0.31,8280504,0.0009,2969290,0.0047,548053,,
KE,1st,1,FB,Reach,830.54,0.31,2681305,0.0009,961484,0.0047,177465,,
KE,1st,3,,VRC 2.0,48.86,0.31,157724,0.0009,56558,0.0047,10439,,
KE,1st,18,TT,Reach,97.71,0.31,315448,0.0009,113116,0.0047,20878,,
KE,1st,1,FB,Post Engagement,4736.64,0.31,15291810,0.0009,5483461,0.0047,1012103,,
KE,1st,1,IG,Post Engagement,835.88,0.31,2698555,0.0009,967670,0.0047,178606,,
KE,1st,1,FB,Page Likes,0,0.31,0,0.0009,0,0.0047,0,0.61,0
KE,1st,3,,Demand Gen,0,0.31,0,0.0009,0,0.0047,0,0.61,0
KE,1st,18,TT,CI Follows,0,0.31,0,0.0009,0,0.0047,0,0.61,0
KE,1st,1,FB,Video Views,320.61,0.31,1035063,0.0009,371161,0.0047,68507,,
KE,1st,3,,VVC,320.61,0.31,1035063,0.0009,371161,0.0047,68507,,
KE,1st,18,TT,Video Views,2564.89,0.31,8280504,0.0009,2969290,0.0047,548053,,
JP,1st,1,FB,Reach,4152.68,0.51,8170697,0.319,13020,0.3093,13424,3896.26,1
JP,1st,3,,VRC 2.0,244.28,0.7,348964,0.0009,282789,0.0047,52196,,
JP,1st,18,TT,Reach,488.55,0.7,697929,0.0009,565579,0.0047,104391,,
JP,1st,1,FB,Post Engagement,23683.21,2.99,7929144,0.0094,2521135,0.009,2646063,,
JP,1st,1,IG,Post Engagement,4179.39,0.7,5970557,0.0009,4838348,0.0047,893032,,
JP,1st,1,FB,Page Likes,40950,1.73,23687590,0.3451,118656,0.291,140719,2.09,19582
JP,1st,3,,Demand Gen,12600,0.7,18000000,0.0009,14586621,0.0047,2692308,0.61,20750
JP,1st,18,TT,CI Follows,9450,0.7,13500000,0.0009,10939966,0.0047,2019231,0.61,15563
JP,1st,1,FB,Video Views,1603.05,7.98,200806,0.0115,139800,0.0115,139934,,
JP,1st,3,,VVC,1603.05,0.7,2290076,0.0009,1855804,0.0047,342533,,
JP,1st,18,TT,Video Views,12824.42,0.7,18320606,0.0009,14846430,0.0047,2740262,,
KZ,1st,1,FB,Reach,3322.14,0.31,10725222,0.0009,3845936,0.0047,709859,,
KZ,1st,3,,VRC 2.0,195.42,0.31,630895,0.0009,226232,0.0047,41756,,
KZ,1st,18,TT,Reach,390.84,0.31,1261791,0.0009,452463,0.0047,83513,,
KZ,1st,1,FB,Post Engagement,18946.57,0.31,61167242,0.0009,21933842,0.0047,4048412,,
KZ,1st,1,IG,Post Engagement,3343.51,0.31,10794219,0.0009,3870678,0.0047,714426,,
KZ,1st,1,FB,Page Likes,0,0.31,0,0.0009,0,0.0047,0,0.61,0
KZ,1st,3,,Demand Gen,0,0.31,0,0.0009,0,0.0047,0,0.61,0
KZ,1st,18,TT,CI Follows,0,0.31,0,0.0009,0,0.0047,0,0.61,0
KZ,1st,1,FB,Video Views,1282.44,0.31,4140249,0.0009,1484644,0.0047,274026,,
KZ,1st,3,,VVC,1282.44,0.31,4140249,0.0009,1484644,0.0047,274026,,
KZ,1st,18,TT,Video Views,10259.54,0.31,33121989,0.0009,11877150,0.0047,2192210,,
PL,1st,1,FB,Reach,3517.56,0.3,11541665,,,5,704,,
PL,1st,3,,VRC 2.0,390.84,0.31,1261791,0.0009,452463,0.0047,83513,,
PL,1st,1,FB,Post Engagement,18946.57,1.39,13610741,,,0.2034,93154,60,316
PL,1st,1,IG,Post Engagement,3343.51,13.97,239340,,,0.1525,21919,,
PL,1st,1,FB,Page Likes,4270,0.31,13785300,0.0009,4943244,0.0047,912393,0.61,7032
PL,1st,3,,Demand Gen,2730,0.31,8813552,0.0009,3160435,0.0047,583333,0.61,4496
PL,1st,1,FB,Video Views,6412.22,0.31,20701243,0.0009,7423218,0.0047,1370131,,
PL,1st,3,,VVC,6412.22,0.31,20701243,0.0009,7423218,0.0047,1370131,,
CZ,1st,1,FB,Reach,977.1,0.38,2566749,,,1.1314,864,45.25,22
CZ,1st,1,FB,Post Engagement,4736.64,0.31,15291810,0.0009,5483461,0.0047,1012103,,
CZ,1st,1,IG,Post Engagement,835.88,8.5,98359,,,0.0808,10346,,
CZ,1st,1,FB,Page Likes,0,1.41,0,,,2.0861,0,0.97,0
CZ,1st,1,FB,Video Views,3206.11,0.31,10350630,0.0009,3711612,0.0047,685066,,
FR,1st,1,FB,Reach,977.1,0.31,3154477,0.0009,1131158,0.0047,208782,,
RS,1st,1,FB,Post Engagement,4736.64,0.31,15291810,0.0009,5483461,0.0047,1012103,,
RS,1st,1,IG,Post Engagement,835.88,2.04,409910,0.0066,126347,0.0062,134735,,
RS,1st,1,FB,Page Likes,0,0.31,0,0.0009,0,0.0047,0,0.61,0
RS,1st,1,FB,Video Views,3206.11,0.31,10350630,0.0009,3711612,0.0047,685066,,
HR,1st,1,FB,Reach,977.1,0.32,3019994,,,3.237,302,,
HR,1st,1,FB,Post Engagement,4736.64,0.78,6100265,0.0024,1979307,0.0024,1980622,349.48,14
HR,1st,1,IG,Post Engagement,835.88,0.31,2698555,0.0009,967670,0.0047,178606,,
HR,1st,1,FB,Page Likes,0,0.95,0,0.5206,0,0.431,0,1.19,0
HR,1st,1,FB,Video Views,3206.11,2,1604003,0.0054,593285,0.0054,594715,,
SI,1st,1,FB,Reach,977.1,0.32,3097016,0.0031,315871,0.0031,316486,,
SI,1st,1,FB,Post Engagement,4736.64,2.25,2104112,0.0065,727667,0.0065,732808,206.91,23
SI,1st,1,IG,Post Engagement,835.88,3.18,262923,0.0101,82811,0.01,83359,,
SI,1st,1,FB,Page Likes,0,1.34,0,,,2.231,0,1.66,0
SI,1st,1,FB,Video Views,3206.11,3.42,938206,0.0078,413561,0.0077,414306,1012.24,3
HU,1st,1,FB,Reach,977.1,0.23,4327838,,,1.0174,960,11.87,82
HU,1st,1,FB,Post Engagement,4736.64,0.31,15291810,0.0009,5483461,0.0047,1012103,,
HU,1st,1,IG,Post Engagement,835.88,4.19,199590,,,0.0981,8520,,
HU,1st,1,FB,Page Likes,0,1.78,0,,,0.2207,0,0.39,0
HU,1st,1,FB,Video Views,3206.11,0.31,10350630,0.0009,3711612,0.0047,685066,,
GB,1st,1,FB,Reach,3322.14,0.5,6644280,0.0009,3845936,0.0047,709859,,
GB,1st,3,,VRC 2.0,195.42,0.5,390840,0.0009,226232,0.0047,41756,,
GB,1st,18,TT,Reach,390.84,0.5,781680,0.0009,452463,0.0047,83513,,
GB,1st,1,FB,Post Engagement,18946.57,0.5,37893136,0.0009,21933842,0.0047,4048412,,
GB,1st,1,IG,Post Engagement,3343.51,0.5,6687024,0.0009,3870678,0.0047,714426,,
GB,1st,1,FB,Page Likes,17640,0.5,35280000,0.0009,20421270,0.0047,3769231,0.61,29050
GB,1st,3,,Demand Gen,17640,0.5,35280000,0.0009,20421270,0.0047,3769231,0.61,29050
GB,1st,18,TT,CI Follows,27720,0.5,55440000,0.0009,32090567,0.0047,5923077,0.61,45651
GB,1st,1,FB,Video Views,1282.44,0.5,2564886,0.0009,1484644,0.0047,274026,,
GB,1st,3,,VVC,1282.44,0.5,2564886,0.0009,1484644,0.0047,274026,,
GB,1st,18,TT,Video Views,10259.54,0.5,20519088,0.0009,11877150,0.0047,2192210,,
FR,1st,1,FB,Reach,3517.56,0.4,8793900,0.0009,4072168,0.0047,751615,,
FR,1st,3,,VRC 2.0,390.84,0.4,977100,0.0009,452463,0.0047,83513,,
FR,1st,1,FB,Post Engagement,18946.57,0.4,47366420,0.0009,21933842,0.0047,4048412,,
FR,1st,1,IG,Post Engagement,3343.51,0.4,8358780,0.0009,3870678,0.0047,714426,,
FR,1st,1,FB,Page Likes,12810,0.4,32025000,0.0009,14829732,0.0047,2737179,0.61,21096
FR,1st,3,,Demand Gen,8190,0.4,20475000,0.0009,9481304,0.0047,1750000,0.61,13488
FR,1st,1,FB,Video Views,6412.22,0.4,16030538,0.0009,7423218,0.0047,1370131,,
FR,1st,3,,VVC,6412.22,0.4,16030538,0.0009,7423218,0.0047,1370131,,
DE,1st,1,FB,Reach,3517.56,0.5,7035120,0.0009,4072168,0.0047,751615,,
DE,1st,3,,VRC 2.0,390.84,0.5,781680,0.0009,452463,0.0047,83513,,
DE,1st,1,FB,Post Engagement,18946.57,0.5,37893136,0.0009,21933842,0.0047,4048412,,
DE,1st,1,IG,Post Engagement,3343.51,0.5,6687024,0.0009,3870678,0.0047,714426,,
DE,1st,1,FB,Page Likes,17080,0.5,34160000,0.0009,19772976,0.0047,3649573,0.61,28128
DE,1st,3,,Demand Gen,10920,0.5,21840000,0.0009,12641739,0.0047,2333333,0.61,17984
DE,1st,1,FB,Video Views,6412.22,0.5,12824430,0.0009,7423218,0.0047,1370131,,
DE,1st,3,,VVC,6412.22,0.5,12824430,0.0009,7423218,0.0047,1370131,,
ES,1st,1,FB,Reach,3517.56,0.4,8793900,0.0009,4072168,0.0047,751615,,
ES,1st,3,,VRC 2.0,390.84,0.4,977100,0.0009,452463,0.0047,83513,,
ES,1st,1,FB,Post Engagement,18946.57,0.4,47366420,0.0009,21933842,0.0047,4048412,,
ES,1st,1,IG,Post Engagement,3343.51,0.4,8358780,0.0009,3870678,0.0047,714426,,
ES,1st,1,FB,Page Likes,8540,0.4,21350000,0.0009,9886488,0.0047,1824786,0.61,14064
ES,1st,3,,Demand Gen,5460,0.4,13650000,0.0009,6320869,0.0047,1166667,0.61,8992
ES,1st,1,FB,Video Views,6412.22,0.4,16030538,0.0009,7423218,0.0047,1370131,,
ES,1st,3,,VVC,6412.22,0.4,16030538,0.0009,7423218,0.0047,1370131,,
IT,1st,1,FB,Reach,3322.14,0.4,8305350,0.0009,3845936,0.0047,709859,,
IT,1st,3,,VRC 2.0,195.42,0.4,488550,0.0009,226232,0.0047,41756,,
IT,1st,18,TT,Reach,390.84,0.4,977100,0.0009,452463,0.0047,83513,,
IT,1st,1,FB,Post Engagement,18946.57,0.4,47366420,0.0009,21933842,0.0047,4048412,,
IT,1st,1,IG,Post Engagement,3343.51,0.4,8358780,0.0009,3870678,0.0047,714426,,
IT,1st,1,FB,Page Likes,12600,0.4,31500000,0.0009,14586621,0.0047,2692308,0.61,20750
IT,1st,3,,Demand Gen,4200,0.4,10500000,0.0009,4862207,0.0047,897436,0.61,6917
IT,1st,18,TT,CI Follows,4200,0.4,10500000,0.0009,4862207,0.0047,897436,0.61,6917
IT,1st,1,FB,Video Views,1282.44,0.4,3206108,0.0009,1484644,0.0047,274026,,
IT,1st,3,,VVC,1282.44,0.4,3206108,0.0009,1484644,0.0047,274026,,
IT,1st,18,TT,Video Views,10259.54,0.4,25648860,0.0009,11877150,0.0047,2192210,,
